序号,URL,链接文字,是否重要,周报时间
1,https://mp.weixin.qq.com/s/XVln_TXiX44h--GHK_UyHg,Plaude：基于模型通用能力做offline context（线下的上下文）,是,250927周
2,https://mp.weixin.qq.com/s/si1Kk2PfNLLPJyW7i7kVmw,地瓜机器人秦玉森的最新深度访谈,是,250927周
3,https://mp.weixin.qq.com/s/FpKYbo3ptY0NiI1GoXpAyA,组织能力才是 AI 公司真正的壁垒,是,250927周
4,https://mp.weixin.qq.com/s/z_qMMcQRbLDc6yAAt8n4kA,YC合伙人：顶级AI创始人，该怎么找创业点子,是,250927周
5,https://mp.weixin.qq.com/s/o2CaO0hYwrSIYcQZiFvwJQ,Marc Andreessen：过去18个月，和无数法律 AI 创业公司、企业客户打交道，总结出一些观察,是,250927周
6,https://mp.weixin.qq.com/s/HS-3muRwXHp4dgJddvaPsw,RemoveBG & PhotoRoom，靠“抠图”起家，排名a16z榜单 Top 50。从“大套件”里，解放那个最高频的“动作”,是,250927周
7,https://t.zsxq.com/19xayjZwa,重要_AIGC 2C 商业化的思路_20221213,否,250927周
8,https://mp.weixin.qq.com/s/Zvh9ggDUMZBJoh8cAsc2sg,特赞创始人范凌：AI时代，写作是第一重要技能；软件开发工程，变成“一次成型”，类似3D打印房子,否,250927周
9,https://mp.weixin.qq.com/s/WwZsAoozHNYj0B0WmM41iQ,“（LLM产品）评估”背后，再深一层和两层的关键能力，到底是什么,否,250927周
10,https://t.zsxq.com/vu9X4,AI日报志愿者的收获价值和申请流程,否,250927周
11,https://t.zsxq.com/f4cYm,同一类AI方向，多个AI产品会共存，并且就需要有不同的特点、甚至性格,否,250927周
12,https://mp.weixin.qq.com/s/4LD8ndq4vruEl4YZAzM-QQ,下一代人，将很难理解我们今天的工作,否,250927周
13,https://mp.weixin.qq.com/s/W5tCYYc4NPcSw3Q5-qbZWg,AI是中小企业最后的机会,否,250927周
14,https://mp.weixin.qq.com/s/PKs5zmec4sikXqNKwfJg2g,Nano Banana核心团队：图像生成质量几乎到顶了，下一步是让模型读懂用户意图,否,250927周
15,https://mp.weixin.qq.com/s/fi5g-lTreroURHumQllkWQ,早期公司应完全不做传统SEO，而是All-in AEO，优化引用来源和长尾问题,否,250927周
16,https://mp.weixin.qq.com/s/Z3HDJSdPATSEX08jZQLJyw,FDE，从一个客户的具体需求，抽象出背后的通用问题，从定制化中沉淀出平台,否,250927周
17,https://mp.weixin.qq.com/s/tNwJVweHCmtHmP_Ul-sHtQ,MCGA视角下，机器人的变化趋势,否,250927周
18,http://xhslink.com/m/Cgjb2p627j,AI视频：《花木兰》（一镜到底、水墨画风、3分29秒）,是,250927周
19,https://mp.weixin.qq.com/s/pX6nKkGxHe3y-TQQQ6DjEw,真实GEO案例：虚构了一个奶茶品牌、发布看似客观的种草文章 in 权重高的网站，竟然立即生效、成功地让AI推荐它（在AI回答中出现）,是,250927周
20,http://xhslink.com/o/15qhnopH9dP,AI视频：《把酒问月·李白》——“碎金”光影的东方美学 （54 秒）,否,250927周
21,http://xhslink.com/o/GkT0jAhpzn,AI动画短片：《告别》（印象风水彩，2分26秒）,否,250927周
22,http://xhslink.com/o/3WjTwRxqiHc,AI视频：《清明上河图》——古人的汴京Citywalk Vlog（1分19秒）,否,250927周
23,https://mp.weixin.qq.com/s/7UHkF7unFXuYl1sYsNJOSA,ChatGPT Pulse发布：主动开启对话（仅供移动端的Pro用户）,是,250927周
24,https://mp.weixin.qq.com/s/x7RCzHUQC0g0Ju8wGgp7LA,其他观点,否,250927周
25,https://mp.weixin.qq.com/s/upw7Ifzowegj_C0n82NMZw?click_id=135,PaddleOCR破圈：0.07B参数媲美大模型，成多场景OCR首选方案,否,250927周
26,https://www.paddleocr.ai/latest/version3.x/pipeline_usage/OCR.html,文档地址,否,250927周
27,https://mp.weixin.qq.com/s/HfLuT1zVqO2nNmWtJ7ULyA,Embodied Arena：首个统一具身大脑评测平台,否,250927周
28,https://embodied-arena.com/,官网地址,否,250927周
29,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,Github地址,否,250927周
30,https://mp.weixin.qq.com/s/Kgd7pU8s55NetHhHlv6-dQ,朱啸虎：别幻想身份包装,是,250927周
31,https://mp.weixin.qq.com/s/Dd0L3ZDYeE2X3cc6hk1TFw,马斯克各项核心业务的近况和规划,是,250927周
32,https://mp.weixin.qq.com/s/K_d2sLNF7jQdSebD7HM4eg?click_id=163,英伟达布局Robotaxi，斥资30亿美元，押注端到端自动驾驶技术,是,250927周
33,https://mp.weixin.qq.com/s/nY1eY0OMd3c-srfwkGMdHA,MiroMind 登顶 FutureX，开启 AI 预测未来的新赛道,是,250927周
34,https://mp.weixin.qq.com/s/mm4Q92GqNqH7578asdfw8A,硅谷AI前线考察笔记,否,250927周
35,https://mp.weixin.qq.com/s/3ZlDlkrEj01ftgeGOtrnsw,飞轮「倒转」，灵巧手厂商困在夹缝里,否,250927周
36,https://mp.weixin.qq.com/s/WVqdO3q0YOneHl8jRDn4yg,英伟达投资 OpenAI 1000亿美金，梯云纵的极限,否,250927周
37,https://mp.weixin.qq.com/s/-1OVLug7vlUDKwISQPpsAw,老黄9亿美元再投 AI Infra 初创公司Enfabrica，打包带走CEO和核心技术,否,250927周
38,https://mp.weixin.qq.com/s/blRIrWl7STAKPJBum0DMTQ,老黄投资具身智能公司Dyna Robotics（三个华人创办）,否,250927周
39,https://mp.weixin.qq.com/s/7jqO0u0R3k575T3Kdi3OnQ,现在的AI，远不足以取代放射科医生，面临训练数据集有限、覆盖工作范围有限、监管门槛高，保险限制等现实挑战,否,250927周
40,https://mp.weixin.qq.com/s/CAU-w3FcXwiLZb-haY3XxQ?click_id=185,扎克伯格发布三款AI眼镜，侧屏设计指向“现实注解”新交互范式,否,250927周
41,https://mp.weixin.qq.com/s/Jq8SV_PgyALpK6E2XwKpSA,Meta挖走OpenAI清华校友宋飏，任超级智能实验室研究负责人,否,250927周
42,https://m.okjike.com/originalPosts/68d68d4444c92231e3e7b0c4,Kimi 开放Agent 模式「OK Computer」,否,250927周
43,https://mp.weixin.qq.com/s/mcFatd30cC1Ee16kUZg8_w,云栖大会上，阿里发布多款新模型,否,250927周
44,https://chat.qwen.ai/,体验地址,否,250927周
45,https://tongyi.aliyun.com/,体验地址,否,250927周
